DTYYYYMMDD,Close
20180626,19.3
20180625,19.45
20180622,19.6
20180621,19.2
20180620,19.65
20180619,18.7
20180618,19.8
20180615,20.95
20180614,21.3
20180613,20.95
20180612,20.55
20180611,21.1
20180608,21.9
20180607,22
20180606,23
20180605,22.55
20180604,22.55
20180601,21.1
20180531,20.2
20180530,19.9
20180529,20.1
20180528,20
20180525,20.7
20180524,20.4
20180523,19.6
20180522,18.35
20180521,18.95
20180518,19.2
20180517,19.6
20180516,19.6
20180515,19.6
20180514,19.3
20180511,19.25
20180510,19
20180509,19.2
20180508,19.4
20180507,18.95
20180504,19.45
20180503,19.4
20180502,19.9
20180427,20
20180426,19.75
20180424,20.65
20180423,21.05
20180420,20.8
20180419,20.9
20180418,21.3
20180417,21.85
20180416,21.9
20180413,20.6
20180412,20.8
20180411,21.15
20180410,22
20180409,21.3
20180406,25.9
20180405,25.95
20180404,26.5
20180403,25.1
20180402,23.5
20180330,24.8
20180329,25.6
20180328,26.05
20180327,26.3
20180326,26.1
20180323,26.9
20180322,27.45
20180321,27
20180320,26.55
20180319,26.45
20180316,26.7
20180315,26.85
20180314,27.45
20180313,26.55
20180312,26.25
20180309,26.8
20180308,27.1
20180307,27.8
20180306,26.9
20180305,26.9
20180302,27.6
20180301,27.7
20180228,28.2
20180227,27.9
20180226,28.65
20180223,28.65
20180222,28.45
20180221,29.35
20180213,29.6
20180212,27.7
20180209,27
20180208,27.4
20180207,26.75
20180206,25
20180205,26.85
20180202,28.85
20180201,28.85
20180131,29.9
20180130,28.7
20180129,30
20180126,31.9
20180125,32.5
20180122,32.75
20180119,32.9
20180118,32.8
20180117,32.9
20180116,34.35
20180115,34.95
20180112,34.5
20180111,34.4
20180110,34
20180109,33.95
20180108,33.55
20180105,32.6
20180104,32.8
20180103,32.95
20180102,32.85
20171229,33.1
20171228,32.75
20171227,32.75
20171226,32.8
20171225,32.8
20171222,33.1
20171221,32.7
20171220,32.5
20171219,32.4
20171218,32.45
20171215,32.25
20171214,31.1
